UF,Região,Ano,Qtd Ações,Soma Empenhado,Soma Liquidado,Soma Pago,Soma RP Pago,Soma Despesa Executada,Média Empenhado,Máximo Empenhado
AC,REGIAO NORTE,2018,2234,212099959.08,205663764.08,205663764.08,11147441.18,212099959.08,94941.790098478,15397018.4
AC,REGIAO NORTE,2019,1665,252597735.64,220918831.32,220918831.32,889532.8,252597735.64,151710.351735736,15668000
AC,REGIAO NORTE,2020,2018,317924657.02,296650644.83,296650644.83,4977571.92,339198669.21,157544.428652131,16411516
AC,REGIAO NORTE,2021,2096,241847344.83,237744651.37,237744651.37,8189128.66,241847344.83,115385.183602099,15472683.04
AC,REGIAO NORTE,2022,2098,262079180.66,225234451.37,225234451.37,5632208.07,262079180.66,124918.579914204,15983658.15
AL,REGIAO NORDESTE,2018,1309,259477600.71,259335080.71,259335080.71,5210724.28,259477600.71,198225.821779985,56597246
AL,REGIAO NORDESTE,2019,1127,250102131.56,221505876.93,221505876.93,261468.5,250102131.56,221918.484081633,16156095
AL,REGIAO NORDESTE,2020,1243,227021376.18,225021744.19,225021744.19,22596254.63,229021008.17,182639.884296058,16325504.65
AL,REGIAO NORDESTE,2021,1233,296563192.89,284763183.13,284763183.13,9856484.6,296563192.89,240521.648734793,40243410
AL,REGIAO NORDESTE,2022,1306,276952174.74,260104825.74,260104825.74,27814999.57,276952174.74,212061.389540582,18839226.37
AM,REGIAO NORTE,2018,1433,448586835.66,448356835.66,448356835.66,2692881.66,448586835.66,313040.359846476,38896322.66
AM,REGIAO NORTE,2019,1283,446356713.3,445398799.87,445398799.87,0,446356713.3,347900.789789555,33643179.18
AM,REGIAO NORTE,2020,1667,469846328.39,462284886.8,462284886.8,1204895.51,477407769.98,281851.42674865,33801291.49
AM,REGIAO NORTE,2021,1682,470068530.71,463109188.22,463109188.22,1424959.42,470068530.71,279469.994476814,34268997.8
AM,REGIAO NORTE,2022,2060,483720477.58,473947385.85,473947385.85,6447761.95,483720477.58,234815.765815534,37980149.08
